Product Name,Manufacturer,Color,Brand,Order Date,Fiscal Month Of Year Name,Sales Quantity,Sales Amount,Customer Count,Delivered Quantity
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-01-23 00:00:00,Jan,5,2350,5,2
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-01-28 00:00:00,Feb,,,,6
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-01-28 00:00:00,Jan,6,2820,5,
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-02-01 00:00:00,Feb,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-02-05 00:00:00,Feb,8,3760,5,8
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-02-09 00:00:00,Feb,14,6580,5,14
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-02-13 00:00:00,Feb,17,7989,5,17
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-02-18 00:00:00,Feb,5,2350,5,4
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-02-18 00:00:00,Mar,,,,1
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-02-22 00:00:00,Feb,10,4700,5,
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-02-22 00:00:00,Mar,,,,10
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-02-27 00:00:00,Feb,5,2350,5,
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-02-27 00:00:00,Mar,,,,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-03-04 00:00:00,Mar,10,4700,5,10
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-03-10 00:00:00,Mar,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-03-15 00:00:00,Mar,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-03-20 00:00:00,Mar,5,2350,5,3
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-03-20 00:00:00,Apr,,,,2
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-03-26 00:00:00,Mar,16,7520,5,
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-03-26 00:00:00,Apr,,,,16
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-03-31 00:00:00,Mar,13,6110,5,
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-03-31 00:00:00,Apr,,,,13
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-04-05 00:00:00,Apr,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-04-10 00:00:00,Apr,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-04-15 00:00:00,Apr,10,4700,5,10
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-04-21 00:00:00,Apr,8,3760,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-04-21 00:00:00,May,,,,3
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-04-27 00:00:00,Apr,16,7520,5,
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-04-27 00:00:00,May,,,,16
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-05-03 00:00:00,May,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-05-09 00:00:00,May,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-05-15 00:00:00,May,8,3760,5,8
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-05-22 00:00:00,May,5,2350,5,4
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-05-22 00:00:00,Jun,,,,1
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-05-29 00:00:00,May,5,2350,5,
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-05-29 00:00:00,Jun,,,,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-06-05 00:00:00,Jun,8,3760,5,8
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-06-13 00:00:00,Jun,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-06-20 00:00:00,Jun,5,2350,5,3
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-06-20 00:00:00,Jul,,,,2
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-06-28 00:00:00,Jun,5,2350,5,
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-06-28 00:00:00,Jul,,,,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-07-06 00:00:00,Jul,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-07-13 00:00:00,Jul,8,3760,5,8
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-07-21 00:00:00,Jul,10,4700,5,6
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-07-21 00:00:00,Aug,,,,4
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-07-29 00:00:00,Jul,8,3760,5,
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-07-29 00:00:00,Aug,,,,8
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-08-06 00:00:00,Aug,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-08-16 00:00:00,Aug,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-08-24 00:00:00,Aug,8,3760,5,2
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-08-24 00:00:00,Sep,,,,6
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-09-02 00:00:00,Sep,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-09-11 00:00:00,Sep,7,3290,5,7
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-09-20 00:00:00,Sep,5,2350,5,4
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-09-20 00:00:00,Oct,,,,1
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-09-30 00:00:00,Sep,6,2820,5,
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-09-30 00:00:00,Oct,,,,6
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-10-10 00:00:00,Oct,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-10-22 00:00:00,Oct,8,3760,5,2
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-10-22 00:00:00,Nov,,,,6
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-11-02 00:00:00,Nov,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-11-12 00:00:00,Nov,6,2820,5,6
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-11-22 00:00:00,Nov,5,2350,5,1
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-11-22 00:00:00,Dec,,,,4
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-12-01 00:00:00,Dec,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-12-11 00:00:00,Dec,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-12-20 00:00:00,Dec,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-12-30 00:00:00,Dec,12,5640,5,
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-12-30 00:00:00,Jan,,,,12
"Adventure Works 32"" LCD HDTV M130 Silver",Adventure Works,Silver,Adventure Works,2009-05-27 00:00:00,May,7,3500,1,
"Adventure Works 32"" LCD HDTV M130 Silver",Adventure Works,Silver,Adventure Works,2009-05-27 00:00:00,Jun,,,,7
"Adventure Works 37"" 1080p LCD HDTV M150W Black",Adventure Works,Black,Adventure Works,2009-03-10 00:00:00,Mar,6,6600,1,6
"Adventure Works 40"" LCD HDTV M690 White",Adventure Works,White,Adventure Works,2008-12-12 00:00:00,Dec,6,7110,1,6
Adventure Works Chandelier M6150 Black,Adventure Works,Black,Adventure Works,2007-09-24 00:00:00,Sep,9,2070,1,1
Adventure Works Chandelier M6150 Black,Adventure Works,Black,Adventure Works,2007-09-24 00:00:00,Oct,,,,8
Adventure Works Chandelier M6150 Grey,Adventure Works,Grey,Adventure Works,2009-12-21 00:00:00,,6,1380,1,6
Adventure Works Chandelier M6150 White,Adventure Works,White,Adventure Works,2007-12-19 00:00:00,Dec,8,1840,1,8
Adventure Works Chandelier M8150 Black,Adventure Works,Black,Adventure Works,2008-12-26 00:00:00,Dec,11,2954,1,
Adventure Works Chandelier M8150 Black,Adventure Works,Black,Adventure Works,2008-12-26 00:00:00,Jan,,,,11
Adventure Works Chandelier M8150 Grey,Adventure Works,Grey,Adventure Works,2008-01-05 00:00:00,Jan,13,3491,1,13
Adventure Works Coffee Maker 12C M100 Black,Adventure Works,Black,Adventure Works,2008-08-30 00:00:00,Aug,11,4895,1,
Adventure Works Coffee Maker 12C M100 Black,Adventure Works,Black,Adventure Works,2008-08-30 00:00:00,Sep,,,,11
Adventure Works Coffee Maker 12C M100 White,Adventure Works,White,Adventure Works,2009-02-03 00:00:00,Feb,4,1780,1,4
Adventure Works Coffee Maker 12C M100 White,Adventure Works,White,Adventure Works,2009-07-28 00:00:00,Jul,5,2225,1,
Adventure Works Coffee Maker 12C M100 White,Adventure Works,White,Adventure Works,2009-07-28 00:00:00,Aug,,,,5
Adventure Works Coffee Maker 12C M100 White,Adventure Works,White,Adventure Works,2009-09-08 00:00:00,Sep,6,2670,1,6
Adventure Works Coffee Maker 4C E080 Black,Adventure Works,Black,Adventure Works,2008-01-01 00:00:00,Jan,13,1689,1,13
Adventure Works Coffee Maker 4C E080 Black,Adventure Works,Black,Adventure Works,2009-02-22 00:00:00,Feb,14,1819,1,2
Adventure Works Coffee Maker 4C E080 Black,Adventure Works,Black,Adventure Works,2009-02-22 00:00:00,Mar,,,,12
Adventure Works Coffee Maker 4C E080 Grey,Adventure Works,Grey,Adventure Works,2007-12-18 00:00:00,Dec,8,1039,1,8
Adventure Works Coffee Maker 4C E080 White,Adventure Works,White,Adventure Works,2009-06-07 00:00:00,Jun,15,1949,1,15
Adventure Works Coffee Maker 5C E090 Black,Adventure Works,Black,Adventure Works,2008-08-27 00:00:00,Aug,12,1788,1,
Adventure Works Coffee Maker 5C E090 Black,Adventure Works,Black,Adventure Works,2008-08-27 00:00:00,Sep,,,,12
Adventure Works Coffee Maker 5C E090 Grey,Adventure Works,Grey,Adventure Works,2007-02-06 00:00:00,Feb,8,1192,6,8
Adventure Works Coffee Maker 5C E090 Silver,Adventure Works,Silver,Adventure Works,2008-04-26 00:00:00,Apr,7,1043,1,
Adventure Works Coffee Maker 5C E090 Silver,Adventure Works,Silver,Adventure Works,2008-04-26 00:00:00,May,,,,7
Adventure Works Coffee Maker 5C E090 White,Adventure Works,White,Adventure Works,2007-03-08 00:00:00,Mar,7,1043,1,7
Adventure Works Coffee Maker 5C E090 White,Adventure Works,White,Adventure Works,2009-03-17 00:00:00,Mar,14,2086,1,14
Adventure Works Coffee Maker Auto 10C M100 Black,Adventure Works,Black,Adventure Works,2009-11-15 00:00:00,Nov,11,8206,1,11
Adventure Works Coffee Maker Auto 10C M100 Grey,Adventure Works,Grey,Adventure Works,2008-10-21 00:00:00,Oct,1,746,1,1
Adventure Works Coffee Maker Auto 5C E090 Black,Adventure Works,Black,Adventure Works,2009-05-21 00:00:00,May,14,2282,1,14
Adventure Works CRT15 E101 Black,Adventure Works,Black,Adventure Works,2008-08-20 00:00:00,Aug,1,90,1,1
Adventure Works CRT19 E10 White,Adventure Works,White,Adventure Works,2008-12-18 00:00:00,Dec,11,759,1,11
Adventure Works Desk Lamp E1200 White,Adventure Works,White,Adventure Works,2008-04-04 00:00:00,Apr,9,270,1,9
Adventure Works Desk Lamp E1300 Black,Adventure Works,Black,Adventure Works,2007-12-31 00:00:00,Dec,6,480,1,
Adventure Works Desk Lamp E1300 Black,Adventure Works,Black,Adventure Works,2007-12-31 00:00:00,Jan,,,,6
Adventure Works Desk Lamp E1300 Blue,Adventure Works,Blue,Adventure Works,2008-10-24 00:00:00,Oct,4,320,1,4
Adventure Works Desk Lamp E1300 Blue,Adventure Works,Blue,Adventure Works,2009-03-23 00:00:00,Mar,7,560,1,5
Adventure Works Desk Lamp E1300 Blue,Adventure Works,Blue,Adventure Works,2009-03-23 00:00:00,Apr,,,,2
Adventure Works Desk Lamp E1300 Blue,Adventure Works,Blue,Adventure Works,2009-10-04 00:00:00,Oct,5,400,1,5
Adventure Works Desk Lamp E1300 Silver,Adventure Works,Silver,Adventure Works,2009-01-09 00:00:00,Jan,9,720,1,9
Adventure Works Desk Lamp E1300 Silver,Adventure Works,Silver,Adventure Works,2009-02-25 00:00:00,Feb,14,1119,1,
Adventure Works Desk Lamp E1300 Silver,Adventure Works,Silver,Adventure Works,2009-02-25 00:00:00,Mar,,,,14
Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,Adventure Works,2007-01-28 00:00:00,Feb,,,,4
Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,Adventure Works,2007-01-28 00:00:00,Jan,4,1080,4,
Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,Adventure Works,2008-02-18 00:00:00,Feb,15,4049,1,15
Adventure Works Desktop PC1.60 ED160 Silver,Adventure Works,Silver,Adventure Works,2008-12-25 00:00:00,Dec,15,4049,1,2
Adventure Works Desktop PC1.60 ED160 Silver,Adventure Works,Silver,Adventure Works,2008-12-25 00:00:00,Jan,,,,13
Adventure Works Desktop PC1.60 ED160 Silver,Adventure Works,Silver,Adventure Works,2009-08-14 00:00:00,Aug,7,1890,1,7
Adventure Works Desktop PC1.60 ED160 Silver,Adventure Works,Silver,Adventure Works,2009-11-08 00:00:00,Nov,13,3509,1,13
Adventure Works Desktop PC1.60 ED160 White,Adventure Works,White,Adventure Works,2007-03-31 00:00:00,Mar,2,540,1,
Adventure Works Desktop PC1.60 ED160 White,Adventure Works,White,Adventure Works,2007-03-31 00:00:00,Apr,,,,2
Adventure Works Desktop PC1.60 ED160 White,Adventure Works,White,Adventure Works,2007-07-02 00:00:00,Jul,11,2969,1,11
Adventure Works Desktop PC1.60 ED160 White,Adventure Works,White,Adventure Works,2007-08-22 00:00:00,Aug,5,1350,1,
Adventure Works Desktop PC1.60 ED160 White,Adventure Works,White,Adventure Works,2007-08-22 00:00:00,Sep,,,,5
Adventure Works Desktop PC1.60 ED160 White,Adventure Works,White,Adventure Works,2009-04-21 00:00:00,Apr,6,1620,1,5
Adventure Works Desktop PC1.60 ED160 White,Adventure Works,White,Adventure Works,2009-04-21 00:00:00,May,,,,1
Adventure Works Desktop PC1.80 ED180 Black,Adventure Works,Black,Adventure Works,2007-02-24 00:00:00,Feb,14,5166,1,
Adventure Works Desktop PC1.80 ED180 Black,Adventure Works,Black,Adventure Works,2007-02-24 00:00:00,Mar,,,,14
Adventure Works Desktop PC1.80 ED180 Black,Adventure Works,Black,Adventure Works,2008-07-11 00:00:00,Jul,13,4797,1,13
Adventure Works Desktop PC1.80 ED180 Brown,Adventure Works,Brown,Adventure Works,2007-06-28 00:00:00,Jun,15,5535,1,
Adventure Works Desktop PC1.80 ED180 Brown,Adventure Works,Brown,Adventure Works,2007-06-28 00:00:00,Jul,,,,15
Adventure Works Desktop PC1.80 ED180 Brown,Adventure Works,Brown,Adventure Works,2007-11-25 00:00:00,Nov,6,2214,1,
Adventure Works Desktop PC1.80 ED180 Brown,Adventure Works,Brown,Adventure Works,2007-11-25 00:00:00,Dec,,,,6
Adventure Works Desktop PC1.80 ED180 Brown,Adventure Works,Brown,Adventure Works,2008-05-12 00:00:00,May,7,2583,1,7
Adventure Works Desktop PC1.80 ED180 Silver,Adventure Works,Silver,Adventure Works,2007-03-06 00:00:00,Mar,8,2952,1,8
Adventure Works Desktop PC1.80 ED180 White,Adventure Works,White,Adventure Works,2008-08-12 00:00:00,Aug,4,1476,1,4
Adventure Works Desktop PC1.80 ED180 White,Adventure Works,White,Adventure Works,2008-12-04 00:00:00,Dec,15,5535,1,15
Adventure Works Desktop PC1.80 ED182 Black,Adventure Works,Black,Adventure Works,2007-01-20 00:00:00,Feb,,,,3
Adventure Works Desktop PC1.80 ED182 Black,Adventure Works,Black,Adventure Works,2007-01-20 00:00:00,Jan,14,6999,1,11
Adventure Works Desktop PC1.80 ED182 Black,Adventure Works,Black,Adventure Works,2007-04-04 00:00:00,Apr,1,500,1,1
Adventure Works Desktop PC1.80 ED182 Brown,Adventure Works,Brown,Adventure Works,2007-07-08 00:00:00,Jul,13,6499,1,13
Adventure Works Desktop PC1.80 ED182 White,Adventure Works,White,Adventure Works,2007-04-18 00:00:00,Apr,1,500,1,1
Adventure Works Desktop PC1.80 ED182 White,Adventure Works,White,Adventure Works,2007-04-28 00:00:00,Apr,15,7499,9,
Adventure Works Desktop PC1.80 ED182 White,Adventure Works,White,Adventure Works,2007-04-28 00:00:00,May,,,,15
Adventure Works Desktop PC3.0 MS300 Black,Adventure Works,Black,Adventure Works,2007-06-01 00:00:00,Jun,1,469,1,1
Adventure Works Desktop PC3.0 MS300 Black,Adventure Works,Black,Adventure Works,2007-12-26 00:00:00,Dec,14,6566,1,
Adventure Works Desktop PC3.0 MS300 Black,Adventure Works,Black,Adventure Works,2007-12-26 00:00:00,Jan,,,,14
Adventure Works Floor Lamp M2150 Black,Adventure Works,Black,Adventure Works,2009-08-09 00:00:00,Aug,13,4407,1,13
Adventure Works Floor Lamp M2150 Silver,Adventure Works,Silver,Adventure Works,2008-10-24 00:00:00,Oct,11,3729,1,6
Adventure Works Floor Lamp M2150 Silver,Adventure Works,Silver,Adventure Works,2008-10-24 00:00:00,Nov,,,,5
Adventure Works Floor Lamp X1150 Blue,Adventure Works,Blue,Adventure Works,2009-08-28 00:00:00,Aug,7,4452,1,
Adventure Works Floor Lamp X1150 Blue,Adventure Works,Blue,Adventure Works,2009-08-28 00:00:00,Sep,,,,7
Adventure Works Floor Lamp X1150 Grey,Adventure Works,Grey,Adventure Works,2008-01-24 00:00:00,Feb,,,,2
Adventure Works Floor Lamp X1150 Grey,Adventure Works,Grey,Adventure Works,2008-01-24 00:00:00,Jan,2,1272,1,
Adventure Works Floor Lamp X1150 Silver,Adventure Works,Silver,Adventure Works,2008-03-23 00:00:00,Mar,10,6360,1,7
Adventure Works Floor Lamp X1150 Silver,Adventure Works,Silver,Adventure Works,2008-03-23 00:00:00,Apr,,,,3
Adventure Works Laptop12 M1201 Red,Adventure Works,Red,Adventure Works,2007-06-21 00:00:00,Jun,6,2298,1,2
Adventure Works Laptop12 M1201 Red,Adventure Works,Red,Adventure Works,2007-06-21 00:00:00,Jul,,,,4
Adventure Works Laptop12 M1201 Red,Adventure Works,Red,Adventure Works,2009-08-25 00:00:00,Aug,5,1915,1,1
Adventure Works Laptop12 M1201 Red,Adventure Works,Red,Adventure Works,2009-08-25 00:00:00,Sep,,,,4
Adventure Works Laptop15 M1500 Black,Adventure Works,Black,Adventure Works,2007-02-26 00:00:00,Feb,7,4893,1,
Adventure Works Laptop15 M1500 Black,Adventure Works,Black,Adventure Works,2007-02-26 00:00:00,Mar,,,,7
Adventure Works Laptop15 M1500 Black,Adventure Works,Black,Adventure Works,2008-05-30 00:00:00,May,12,8388,1,
Adventure Works Laptop15 M1500 Black,Adventure Works,Black,Adventure Works,2008-05-30 00:00:00,Jun,,,,12
Adventure Works Laptop15 M1501 Blue,Adventure Works,Blue,Adventure Works,2008-04-15 00:00:00,Apr,13,9087,1,13
Adventure Works Laptop15 M1501 Red,Adventure Works,Red,Adventure Works,2008-07-03 00:00:00,Jul,8,5592,1,8
Adventure Works Laptop15 M1501 Silver,Adventure Works,Silver,Adventure Works,2007-03-05 00:00:00,Mar,3,2097,3,3
Adventure Works Laptop15 M1501 Silver,Adventure Works,Silver,Adventure Works,2007-06-26 00:00:00,Jun,14,9786,1,
Adventure Works Laptop15 M1501 Silver,Adventure Works,Silver,Adventure Works,2007-06-26 00:00:00,Jul,,,,14
Adventure Works Laptop15 M1501 Silver,Adventure Works,Silver,Adventure Works,2007-08-24 00:00:00,Aug,14,9786,1,3
Adventure Works Laptop15 M1501 Silver,Adventure Works,Silver,Adventure Works,2007-08-24 00:00:00,Sep,,,,11
Adventure Works Laptop15.4W M1548 White,Adventure Works,White,Adventure Works,2007-10-25 00:00:00,Oct,2,1516,1,
Adventure Works Laptop15.4W M1548 White,Adventure Works,White,Adventure Works,2007-10-25 00:00:00,Nov,,,,2
Adventure Works Laptop16 M1601 Blue,Adventure Works,Blue,Adventure Works,2008-09-04 00:00:00,Sep,2,1198,1,2
Adventure Works Laptop16 M1601 Silver,Adventure Works,Silver,Adventure Works,2007-03-10 00:00:00,Mar,13,7787,1,13
Adventure Works Laptop16 M1601 Silver,Adventure Works,Silver,Adventure Works,2007-10-25 00:00:00,Oct,11,6589,1,1
Adventure Works Laptop16 M1601 Silver,Adventure Works,Silver,Adventure Works,2007-10-25 00:00:00,Nov,,,,10
Adventure Works Laptop16 M1601 White,Adventure Works,White,Adventure Works,2009-12-10 00:00:00,,,,,11
